Date,Reference Number,Journal Type,GL_Account,Description,Debit,Credit,Notes
2025-10-11,24596907561,both,Amazon.ca Clearing,Order/Principal,0.0,59.99,Row ID: 1547 - Merchant Order ID: 701-9322945-2848216
2025-10-11,24596907561,both,Amazon FBA Fulfillment Fees,Order/Commission,9.63,0.0,Row ID: 1495 - Merchant Order ID: 701-7453684-3658626
2025-10-11,24596907561,both,Amazon.ca Clearing,Order/Principal,0.0,59.99,Row ID: 1493 - Merchant Order ID: 701-7453684-3658626
2025-10-11,24596907561,both,Amazon FBA Fulfillment Fees,Order/FBAPerUnitFulfillmentFee,8.11,0.0,Row ID: 1494 - Merchant Order ID: 701-7453684-3658626
2025-10-11,24596907561,both,Amazon FBA Fulfillment Fees,Order/FBAPerUnitFulfillmentFee,8.68,0.0,Row ID: 1473 - Merchant Order ID: 701-6735242-5611425
2025-10-11,24596907561,both,Amazon FBA Fulfillment Fees,Order/Commission,9.63,0.0,Row ID: 1474 - Merchant Order ID: 701-6735242-5611425
2025-10-11,24596907561,both,Amazon.ca Revenue,Order/Shipping,0.0,3.49,Row ID: 1475 - Merchant Order ID: 701-6735242-5611425
2025-10-11,24596907561,both,Amazon.ca Revenue,Order/Shipping,0.0,3.49,Row ID: 1472 - Merchant Order ID: 701-6735242-5611425
2025-10-11,24596907561,both,Amazon.ca Clearing,Order/Principal,0.0,59.99,Row ID: 1471 - Merchant Order ID: 701-6735242-5611425
2025-10-11,24596907561,both,Amazon.ca Clearing,Order/Principal,0.0,59.99,Row ID: 1591 - Merchant Order ID: 701-8117142-3124221
2025-10-11,24596907561,both,Amazon FBA Fulfillment Fees,Order/Commission,9.63,0.0,Row ID: 1593 - Merchant Order ID: 701-8117142-3124221
2025-10-11,24596907561,both,Amazon FBA Fulfillment Fees,Order/FBAPerUnitFulfillmentFee,8.83,0.0,Row ID: 1592 - Merchant Order ID: 701-8117142-3124221
2025-10-11,24596907561,both,Amazon FBA Fulfillment Fees,Order/Commission,9.63,0.0,Row ID: 1531 - Merchant Order ID: 702-3925304-3433023
2025-10-11,24596907561,both,Amazon FBA Fulfillment Fees,Order/FBAPerUnitFulfillmentFee,8.25,0.0,Row ID: 1530 - Merchant Order ID: 702-3925304-3433023
2025-10-11,24596907561,both,Amazon.ca Clearing,Order/Principal,0.0,59.99,Row ID: 1529 - Merchant Order ID: 702-3925304-3433023
2025-10-11,24596907561,both,Amazon FBA Fulfillment Fees,Order/Commission,9.63,0.0,Row ID: 1522 - Merchant Order ID: 701-0694752-6106620
2025-10-11,24596907561,both,Amazon FBA Fulfillment Fees,Order/FBAPerUnitFulfillmentFee,8.25,0.0,Row ID: 1521 - Merchant Order ID: 701-0694752-6106620
2025-10-11,24596907561,both,Amazon.ca Revenue,Order/Shipping,0.0,3.93,Row ID: 1520 - Merchant Order ID: 701-0694752-6106620
2025-10-11,24596907561,both,Amazon.ca Clearing,Order/Principal,0.0,59.99,Row ID: 1519 - Merchant Order ID: 701-0694752-6106620
2025-10-11,24596907561,both,Amazon.ca Revenue,Order/Shipping,0.0,3.93,Row ID: 1523 - Merchant Order ID: 701-0694752-6106620
2025-10-11,24596907561,both,Amazon.ca Clearing,Order/Principal,0.0,59.99,Row ID: 1477 - Merchant Order ID: 701-4673173-0477801
2025-10-11,24596907561,both,Amazon FBA Fulfillment Fees,Order/FBAPerUnitFulfillmentFee,8.25,0.0,Row ID: 1478 - Merchant Order ID: 701-4673173-0477801
2025-10-11,24596907561,both,Amazon FBA Fulfillment Fees,Order/Commission,9.63,0.0,Row ID: 1479 - Merchant Order ID: 701-4673173-0477801
2025-10-11,24596907561,both,Amazon.ca Clearing,Order/Principal,0.0,59.99,Row ID: 1481 - Merchant Order ID: 701-4673173-0477801
2025-10-11,24596907561,both,Amazon FBA Fulfillment Fees,Order/FBAPerUnitFulfillmentFee,8.11,0.0,Row ID: 1482 - Merchant Order ID: 701-4673173-0477801
2025-10-11,24596907561,both,Amazon FBA Fulfillment Fees,Order/Commission,9.63,0.0,Row ID: 1483 - Merchant Order ID: 701-4673173-0477801
2025-10-11,24596907561,both,Amazon.ca Revenue,Order/Shipping,0.0,5.9,Row ID: 1585 - Merchant Order ID: 702-1996529-3860211
2025-10-11,24596907561,both,Amazon FBA Fulfillment Fees,Order/Commission,9.63,0.0,Row ID: 1584 - Merchant Order ID: 702-1996529-3860211
2025-10-11,24596907561,both,Amazon.ca Revenue,Order/Shipping,0.0,5.9,Row ID: 1582 - Merchant Order ID: 702-1996529-3860211
2025-10-11,24596907561,both,Amazon.ca Clearing,Order/Principal,0.0,59.99,Row ID: 1581 - Merchant Order ID: 702-1996529-3860211
2025-10-11,24596907561,both,Amazon FBA Fulfillment Fees,Order/FBAPerUnitFulfillmentFee,8.25,0.0,Row ID: 1583 - Merchant Order ID: 702-1996529-3860211
2025-10-11,24596907561,both,Amazon.ca Clearing,Order/Principal,0.0,34.99,Row ID: 1609 - Merchant Order ID: 701-0589721-8502622
2025-10-11,24596907561,both,Amazon FBA Fulfillment Fees,Order/FBAPerUnitFulfillmentFee,6.12,0.0,Row ID: 1610 - Merchant Order ID: 701-0589721-8502622
2025-10-11,24596907561,both,Amazon FBA Fulfillment Fees,Order/Commission,5.62,0.0,Row ID: 1611 - Merchant Order ID: 701-0589721-8502622
2025-10-11,24596907561,both,Amazon.ca Clearing,Order/Principal,0.0,59.99,Row ID: 1455 - Merchant Order ID: 702-2380778-8748265
2025-10-11,24596907561,both,Amazon FBA Fulfillment Fees,Order/FBAPerUnitFulfillmentFee,7.71,0.0,Row ID: 1456 - Merchant Order ID: 702-2380778-8748265
2025-10-11,24596907561,both,Amazon FBA Fulfillment Fees,Order/Commission,9.63,0.0,Row ID: 1457 - Merchant Order ID: 702-2380778-8748265
2025-10-11,24596907561,both,Amazon FBA Fulfillment Fees,Order/FBAPerUnitFulfillmentFee,8.68,0.0,Row ID: 1510 - Merchant Order ID: 702-9847544-0259420
2025-10-11,24596907561,both,Amazon.ca Clearing,Order/Principal,0.0,59.99,Row ID: 1509 - Merchant Order ID: 702-9847544-0259420
2025-10-11,24596907561,both,Amazon FBA Fulfillment Fees,Order/Commission,9.63,0.0,Row ID: 1511 - Merchant Order ID: 702-9847544-0259420
2025-10-11,24596907561,both,Amazon.ca Clearing,Order/Principal,0.0,59.99,Row ID: 1485 - Merchant Order ID: 701-8257065-9775446
2025-10-11,24596907561,both,Amazon FBA Fulfillment Fees,Order/FBAPerUnitFulfillmentFee,8.68,0.0,Row ID: 1486 - Merchant Order ID: 701-8257065-9775446
2025-10-11,24596907561,both,Amazon FBA Fulfillment Fees,Order/Commission,9.63,0.0,Row ID: 1487 - Merchant Order ID: 701-8257065-9775446
2025-10-11,24596907561,both,Amazon FBA Fulfillment Fees,Order/FBAPerUnitFulfillmentFee,8.83,0.0,Row ID: 1468 - Merchant Order ID: 702-5990366-7116204
2025-10-11,24596907561,both,Amazon FBA Fulfillment Fees,Order/Commission,9.63,0.0,Row ID: 1469 - Merchant Order ID: 702-5990366-7116204
2025-10-11,24596907561,both,Amazon.ca Clearing,Order/Principal,0.0,59.99,Row ID: 1467 - Merchant Order ID: 702-5990366-7116204
2025-10-11,24596907561,both,Amazon.ca Clearing,Order/Principal,0.0,59.99,Row ID: 1587 - Merchant Order ID: 701-8479405-9613058
2025-10-11,24596907561,both,Amazon FBA Fulfillment Fees,Order/Commission,9.63,0.0,Row ID: 1589 - Merchant Order ID: 701-8479405-9613058
2025-10-11,24596907561,both,Amazon FBA Fulfillment Fees,Order/FBAPerUnitFulfillmentFee,8.83,0.0,Row ID: 1588 - Merchant Order ID: 701-8479405-9613058
2025-10-11,24596907561,both,Amazon FBA Fulfillment Fees,Order/Commission,9.63,0.0,Row ID: 1598 - Merchant Order ID: 702-0365478-0397002
